State,Year,LawName,Switching,Assaults_-16,Assaults_-15,Assaults_-14,Assaults_-13,Assaults_-12,Assaults_-11,Assaults_-10,Assaults_-9,Assaults_-8,Assaults_-7,Assaults_-6,Assaults_-5,Assaults_-4,Assaults_-3,Assaults_-2,Assaults_-1,Assaults_0,Assaults_1,Assaults_2,Assaults_3,Assaults_4,Assaults_5,Assaults_6,Assaults_7,Assaults_8,Assaults_9,Assaults_10,Assaults_11,Assaults_12,Assaults_13,Assaults_14,Assaults_15,Assaults_16
CA,2000,dvro,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,dvrodating,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,dvrosurrender,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,dvrosurrenderdating,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,dvrosurrendernoconditions,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,exparte,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,expartedating,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,expartesurrender,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,expartesurrenderdating,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,expartesurrendernoconditions,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
CA,2000,incidentremoval,implemented,,,,,,,,,,,,,,,,19051,20981,21418,22889,22290,22197,23182,23494,21547,19126,17297,16937,17055,17680,15616,15776,18140,20633
